รหัส,ชื่อสินค้า,หน่วยสินค้า
300564-1,อาราบิก้า เอสเปรสโซ ตรารอแยล-คอฟฟี่โกลด์(ซอง),ซอง
300565,ผงชงชิมกาแฟอาราบิก้า เอสเพรสโซ่ 250 กรัม,แพ็ค
300566,ชุด GIFT SET,ชุด
300567,ชุด GIFT SET (2566),ชุด
300568,อาราบิก้า ลาเต้ กาแฟปรุงสำเร็จชนิดผง ตรารอแยล-คอฟฟี่(รุ่น22ซอง),แพ็ค
300568-1,อาราบิก้า ลาเต้ กาแฟปรุงสำเร็จชนิดผง ตรารอแยล-คอฟฟี่(รุ่น22ซอง)(ลัง),ลัง
300569,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์(รุ่น27แถมRYE),แพ็ค
300569-1,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์(รุ่น27แถมRYE)(ลัง),ลัง
300570,Tester อาราบิก้า ลาเต้ กาแฟปรุงสำเร็จชนิดผง ตรารอแยล-คอฟฟี่,ซอง
300570-1,อาราบิก้า ลาเต้ กาแฟปรุงสำเร็จชนิดผง ตรารอแยล-คอฟฟี่(ซอง),ซอง
300571,รอแยล-คอฟฟี่ โกลด์ เครมมา ขนาด 40กรัม,ถุง
300571-1,รอแยล-คอฟฟี่ โกลด์ เครมมา ขนาด 40กรัม(ลัง),ลัง
300572,รอแยล-คอฟฟี่ โกลด์ เครมมา ขนาด 100กรัม,ถุง
300572-1,รอแยล-คอฟฟี่ โกลด์ เครมมา ขนาด 100กรัม(ลัง),ลัง
400101,เบลลาครีมวิตามินอี 15 กรัม,หลอด
400201,เบลลาครีมลดรอยฝ้า 15 กรัม,หลอด
400301,เบลลาครีมลดรอยสิว 5 กรัม,หลอด
500101,โคโซแตน 60 ml.,ขวด
500102,เนเจอร์ทุเรียน ขนาด 100 กรัม,กล่อง
500102-1,เนเจอร์ทุเรียน ขนาด 100 กรัม (ลัง),ลัง
500103,เนเจอร์ทุเรียน ขนาด 40 กรัม,ถุง
500103-1,เนเจอร์ทุเรียน ขนาด 40 กรัม (ลัง),ลัง
500104,Tester เนเจอร์ทุเรียน ขนาด 20 กรัม,ซอง
500105,เนเจอร์ทุเรียน ขนาด 70 กรัม,ซอง
500106,มะม่วงอบแห้ง ขนาด 35 กรัม,ซอง
500107,มะม่วงอบกรอบ ตราเนเจอร์ไวต้า,กล่อง
500108,มะพร้าวอบกรอบ ตราเฟิร์สรอยัล,ซอง
500109,มะม่วงอบแห้ง ตราเฟิร์สรอยัล,ซอง
500110,เนเจอร์ไวต้า รสส้มแคลิฟอร์เนีย  500 กรัม,แพ็ค
500111,เนเจอร์ไวต้า รสองุ่น 500 กรัม,แพ็ค
500112,เนเจอร์ไวต้า รสกีวี่ 500 กรัม,แพ็ค
500113,เนเจอร์ไวต้า รสสัปปะรด 500 กรัม,แพ็ค
500114,เนเจอร์ไวต้า รสพั้นซ์  500 กรัม,แพ็ค
500115,เนเจอร์ไวต้า รสฮันนี่เลมอน 500 กรัม,แพ็ค
500116,เนเจอร์ไวต้า รสมิกซ์เบอร์รี่ 500 กรัม,แพ็ค
500117,เนเจอร์ไวต้า รสฝรั่งสีชมพู 500 กรัม,แพ็ค
500118,เนเจอร์ไวต้า รสสตอรเบอร์รี่ 500 กรัม,แพ็ค
500119,เนเจอร์ทุเรียน ขนาด 200 กรัม,แพ็ค
500120,มะพร้าวอบกรอบ รสดั้งเดิม ขนาด 40 กรัม,กล่อง
500121,มะพร้าวอบกรอบ รสเค็ม ขนาด 40 กรัม,กล่อง
500122,มะพร้าวอบกรอบ รสวาซาบิ ขนาด 40 กรัม,กล่อง
500123,มะพร้าวอบกรอบ เคลือบช็อคโกแลต,แพ็ค
500124,เนเจอร์ทุเรียน ขนาด100กรัม (หีบ),หีบ
500125,เนเจอร์ไวต้า กาแฟเอสเพรสโซ่  500 กรัม,แพ็ค
500126,เนเจอร์ไวต้า ช็อกโกแลต 500 กรัม,แพ็ค
500126-1,เนเจอร์ไวต้า ช็อกโกแลต 500 กรัม (ไม่ติดสติ๊กเกอร์),แพ็ค
500127,เนเจอร์ไวต้า คาปูชิโน่ 500 กรัม,แพ็ค
500128,เนเจอร์ไวต้า รสมะม่วง 500 กรัม,แพ็ค
500129,เนเจอร์ทุเรียน ขนาด 280 กรัม,ถุง
500129-1,เนเจอร์ทุเรียน ขนาด 280 กรัม(ลัง),ลัง
500130,ข้าวเหนียวทุเรียน,กล่อง
500131,ข้าวเหนียวมะม่วง,กล่อง
500132,Tester ข้าวเหนียวทุเรียน ขนาด 40 กรัม,ซอง
500133,เนเจอร์ไวต้า คาเฟ่ ชาเขียวลาเต้ 350 กรัม,แพ็ค
500134,ผงไอศรีม รสนม 1000 กรัม,แพ็ค
500135,ผงไอศรีม รสทุเรียน 1000 กรัม,แพ็ค
500136,ผงไอศครีม รสช็อกโกแลต ขนาด 1000 กรัม,แพ็ค
500137,ผงไอศรีม รสวนิลา 1000 กรัม,แพ็ค
500138,ผงไอศรีม รสชาเขียว 1000 กรัม,แพ็ค
500139,เนเจอร์ไวต้า รสชาไทย 500 กรัม,แพ็ค
500140,เนเจอร์ไวต้า รสชาไทย 350 กรัม,แพ็ค
500141,เนเจอร์ไวต้า รสแอปเปิ้ล 500 กรัม,แพ็ค
500142,เครื่องดื่มรสนมชนิดผง ตราเนเจอร์คาเฟ่ 350 กรัม,แพ็ค
500159,Tester โยเกิร์ตอบกรอบ (รสมะเขือเทศ) รูปไดโนเสาร์,ซอง
500160,Tester โยเกิร์ตอบกรอบ (รสมะม่วง) รูปไดโนเสาร์,ซอง
500161,Tester โยเกิร์ตอบกรอบ (รสออริจินอล) รูปไดโนเสาร์,ซอง
500162,Tester โยเกิร์ตอบกรอบ (รสสตอเบอร์รี่) รูปไดโนเสาร์,ซอง
500163,โยเกิร์ตอบกรอบ (รสออริจินอล) รูปไดโนเสาร์  25กรัม,กล่อง
500164,โยเกิร์ตอบกรอบ (รสสตอเบอร์รี่) รูปไดโนเสาร์ 25กรัม,กล่อง
500165,โยเกิร์ตอบกรอบ (รสมะเขือเทศ) รูปไดโนเสาร์ 25กรัม,กล่อง
500166,โยเกิร์ตอบกรอบ (รสมะม่วง) รูปไดโนเสาร์ 25กรัม,กล่อง
500167,ถั่งเช่า 30 แคปซูล ตรา รอแยล คอร์ดี้-พลัส,ขวด
500167-1,Royal CORDY Plus 30c,Box
500167-2,ถั่งเช่า 30 แคปซูล ตรา รอแยล คอร์ดี้-พลัส (ใสสะอาด),ขวด
500168,ถั่งเช่า 24 กล่อง ตรา รอแยล คอร์ดี้-พลัส,กล่อง
500168-1,ถั่งเช่าสีทอง ขนาด 2 แคปซูล ตรา รอแยล คอร์ดี้-พลัส,กล่อง
500168-2,Royal CORDY Plus 24 Box (RCP24),Box
500169,Tester ถั่งเช่า ตรา รอแยล คอร์ดี้-พลัส,ซอง
500170,Royal CORDY Plus 10c  (RCP10),Box
500170-1,ถั่งเช่าสีทอง ขนาด 10 แคปซูล ตรา รอแยล คอร์ดี้-พลัส,กล่อง
500171,โยเกิร์ตอบกรอบ รสออริจินอล รูปหัวใจ 25กรัม,กล่อง
500172,โยเกิร์ตอบกรอบ รสสตอเบอร์รี่ รูปหัวใจ 25กรัม,กล่อง
500173,โยเกิร์ตอบกรอบ รสกล้วย รูปหัวใจ 25กรัม,กล่อง
500174,โยเกิร์ตอบกรอบ รสมะเขือเทศ รูปหัวใจ 25กรัม,กล่อง
500175,โยเกิร์ตอบกรอบ รสมะม่วง รูปหัวใจ 25กรัม,กล่อง
500176,Tester โยเกิร์ตอบกรอบ รสออริจินอล รูปหัวใจ,ซอง
500177,Tester โยเกิร์ตอบกรอบ รสสตอเบอร์รี่ รูปหัวใจ,ซอง
500178,Tester โยเกิร์ตอบกรอบ รสกล้วย รูปหัวใจ,ซอง
500179,Tester โยเกิร์ตอบกรอบ รสมะเขือเทศ รูปหัวใจ,ซอง
500180,Tester โยเกิร์ตอบกรอบ รสมะม่วง รูปหัวใจ,ซอง
500181,ชุดถั่งเช่า 30 แคปซูล (แถมรุ่น10แคปซูล),ชุด
500182,Royal Cordy Plus 30c Pack 2 Box,Set
500183,Royal Cordy Plus 10c Pack 2 Box,Set
500184,โยเกิร์ตอบกรอบ รสออริจินอล รูปหัวใจ 20 กรัม (ซอง),ซอง
500184-1,โยเกิร์ตอบกรอบ รสออริจินอล รูปหัวใจ 20 กรัม (กล่อง),กล่อง
500184-2,โยเกิร์ตอบกรอบ รสออริจินอล รูปหัวใจ 20 กรัม (ลัง),ลัง
500184-3,Freeze Dries Heart figure Yogust Oringnal Flavour Nature Bite 20g.,Box
500185,โยเกิร์ตอบกรอบ รสสตอเบอร์รี่ รูปหัวใจ 20 กรัม (ซอง),ซอง
500185-1,โยเกิร์ตอบกรอบ รสสตอเบอร์รี่ รูปหัวใจ 20 กรัม (กล่อง),กล่อง
500185-2,โยเกิร์ตอบกรอบ รสสตอเบอร์รี่ รูปหัวใจ 20 กรัม (ลัง),ลัง
500185-3,Freeze Dries Heart figure Yogust Strawberry Flavour Nature Bite 20g.,Box
500186,ถั่งเช่า ผสมมัลติวิตามิน ตรารอแยล คอร์ดี้-พลัส,กล่อง
500186-1,ถั่งเช่า ผสมมัลติวิตามิน ตรารอแยล คอร์ดี้-พลัส(ลัง),ลัง
500186-2,ถั่งเช่า ผสมมัลติวิตามิน ตรารอแยล คอร์ดี้-พลัส(ซอง),ซอง
500187,เทสเตอร์ ถั่งเช่า ผสมมัลติวิตามิน ตรารอแยล คอร์ดี้-พลัส,ซอง
500188,Freeze-Dried Yogut Original Flavour,Box
500189,Freeze-Dried Yogut Strawberry Flavour,Box
500190,Freeze-Dried Yogut Mango Flavour,Box
500191,Freeze-Dried Yogut Tomato Flavour,Box
500192,โยเกิร์ตอบกรอบ รสกล้วย รูปหัวใจ 20 กรัม (ซอง),ซอง
500192-1,โยเกิร์ตอบกรอบ รสกล้วย รูปหัวใจ 20 กรัม (กล่อง),กล่อง
500192-2,โยเกิร์ตอบกรอบ รสกล้วย รูปหัวใจ 20 กรัม (ลัง),ลัง
500192-3,Freeze Dries Heart figure Yogust Banana Flavour Nature Bite 20g.,Box
500193,โยเกิร์ตอบกรอบ รสมะม่วง รูปหัวใจ 20 กรัม (ซอง),ซอง
500193-1,โยเกิร์ตอบกรอบ รสมะม่วง รูปหัวใจ 20 กรัม (กล่อง),กล่อง
500193-2,โยเกิร์ตอบกรอบ รสมะม่วง รูปหัวใจ 20 กรัม (ลัง),ลัง
500193-3,Freeze Dries Heart figure Yogust Mango Flavour Nature Bite 20g.,Box
500194,โยเกิร์ตอบกรอบ บลูเบอร์รี่ รูปไดโนเสาร์ 25 กรัม,กล่อง
500194-1,Freeze Dries Dinosaur figure Yogust Snack-Blueberry Nature Bite,Box
500195,นมปรุงแต่งอัดเม็ด รสหวาน 12 (กล่อง),กล่อง
500195-1,นมปรุงแต่งอัดเม็ด รสหวาน 12 (ซอง),ซอง
500195-2,นมปรุงแต่งอัดเม็ด รสหวาน 12 (ลัง),ลัง
500195-3,Sweetened Flavored Milk Tablet Natur Bite 12,Box
500196,นมปรุงแต่งอัดเม็ด รสช็อกโกแลต 12 (กล่อง),กล่อง
500196-1,นมปรุงแต่งอัดเม็ด รสช็อกโกแลต 12(ซอง),ซอง
500196-2,นมปรุงแต่งอัดเม็ด รสช็อกโกแลต 12 (ลัง),ลัง
500196-3,Chocolate Flavored Milk Tablet Natur Bite 12,Box
500197,Tester นมปรุงแต่งอัดเม็ด รสหวาน 10 g.,ซอง
500198,Tester นมปรุงแต่งอัดเม็ด รสช็อกโกแลต 10g.,ซอง
500199,Tester นมปรุงแต่งอัดเม็ด รสสตรอเบอร์รี่ 10g,ซอง
500200,วิตามินซี 60มก. กลิ่นส้ม ตราเนเจอร์ ไบท์,ซอง
500200-1,วิตามินซี 60มก. กลิ่นส้ม ตราเนเจอร์ ไบท์ (กล่อง),กล่อง
500200-2,วิตามินซี 60มก. กลิ่นส้ม ตราเนเจอร์ ไบท์ (ลัง),ลัง
500200-3,Vitamin C 1200 mg Orange Flavour,Box
500201,วิตามินซี 60มก. กลิ่นองุ่น ตราเนเจอร์ ไบท์,ซอง
500201-1,วิตามินซี 60มก. กลิ่นองุ่น ตราเนเจอร์ ไบท์ (กล่อง),กล่อง
500201-2,วิตามินซี 60มก. กลิ่นองุ่น ตราเนเจอร์ ไบท์ (ลัง),ลัง
500201-3,Vitamin C 1200 mg Grape Flavour,Box
500202,Tester วิตามินซี 60มก. กลิ่นส้ม ตราเนเจอร์ ไบท์,ซอง
500203,Tester วิตามินซี 60มก. กลิ่นองุ่น ตราเนเจอร์ ไบท์,ซอง
500204,Natural lemon flavoured beverage (Royal-d c1000 brand),กล่อง
500204-1,วิตามินซี 1000มก. (กลิ่นไลม์) ผลิตภัณฑ์เสริมอาหาร ตรา รอแยล-ดี,กล่อง
500205,โยเกิร์ตอบกรอบ แครนเบอร์รี่ รูปหัวใจ 25 กรัม,กล่อง
500205-1,Freeze Dries Heart figure Yogust Snack-Cranberry Nature Bite 25g.,Box
500206,โยเกิร์ตอบกรอบ แครนเบอร์รี่ รูปหัวใจ 20 กรัม,ซอง
500206-1,โยเกิร์ตอบกรอบ แครนเบอร์รี่ รูปหัวใจ 20 กรัม(กล่อง),กล่อง
500206-2,Freeze Dries Heart figure Yogust Snack-Cranberry Nature Bite 20g.,Box
500207,โยเกิร์ตอบกรอบ บลูเบอร์รี่ รูปหัวใจ 20 กรัม,ซอง
500207-1,โยเกิร์ตอบกรอบ บลูเบอร์รี่ รูปหัวใจ 20 กรัม(กล่อง),กล่อง
500207-2,Freeze Dries Heart figure Yogust Snack-Blueberry Nature Bite 20g.,Box
500208,โยเกิร์ตอบกรอบ บลูเบอร์รี่ รูปหัวใจ 25 กรัม,กล่อง
500208-1,Freeze Dries Heart figure Yogust Snack-Blueberry Nature Bite,Box
500209,โยเกิร์ตอบกรอบ แครนเบอร์รี่ รูปไดโนเสาร์ 25 กรัม,กล่อง
500209-1,Freeze Dries Dinosaur figure Yogust Snack-Cranberry Nature Bite,Box
500210,นมปรุงแต่งอัดเม็ด รสหวาน 10 (กล่อง),กล่อง
500210-1,นมปรุงแต่งอัดเม็ด รสหวาน 10 (ซอง),ซอง
500210-2,Sweetened Flavored Milk Tablet Natur Bite,Box
500211,นมปรุงแต่งอัดเม็ด รสช็อกโกแลต 10 (กล่อง),กล่อง
500211-1,นมปรุงแต่งอัดเม็ด รสช็อกโกแลต 10 (ซอง),ซอง
500211-2,Chocolate Flavored Milk Tablet Natur Bite,Box
500212,นมปรุงแต่งอัดเม็ด รสสตอเบอร์รี่ 10 (กล่อง),กล่อง
500212-1,นมปรุงแต่งอัดเม็ด รสสตอเบอร์รี่ 10 (ซอง),ซอง
500212-2,Strawberry Flavored Milk Tablet Natur Bite,Box
500213,Tester โยเกิร์ตอบกรอบ แครนเบอร์รี่ รูปหัวใจ,ซอง
500214,Tester โยเกิร์ตอบกรอบ บลูเบอร์รี่ รูปหัวใจ,ซอง
500215,Tester โยเกิร์ตอบกรอบ แครนเบอร์รี่ รูปไดโนเสาร์ 25 กรัม,ซอง
500216,Tester โยเกิร์ตอบกรอบ บลูเบอร์รี่ รูปไดโนเสาร์ 25 กรัม,ซอง
500301,รอแยล-ดี น้ำ รสสตอเบอร์รี่ 390 ml. (RWS 390),ขวด
500302,รอแยล-ดี น้ำ รสองุ่น 390 ml.(RWG 390),ขวด
500303,รอแยล-ดี น้ำ 390 ml. (RDW 390),ขวด
500304,รอแยล-ดี น้ำ รสสตอเบอร์รี่ 330 ml. (RWS 330),ขวด
500304-1,Mixed Frulls Flavoured Juice (Strawberry),Bottle
500304-2,รอแยล-ดี น้ำ รสสตอเบอร์รี่ 330 ml. (RWS 330)( 72 ขวด),ขวด
500305,รอแยล-ดี น้ำ รสองุ่น 330 ml.(RWG 330),ขวด
500305-1,Mixed Frulls Flavoured Juice (Grape),Bottle
500306,รอแยล-ดี น้ำ 330 ml. (RDW 330) ( 24 ขวด),ขวด
500306-1,รอแยล-ดี น้ำ 330 ml. (RDW 330) ( 72 ขวด),ขวด
500306-2,Mixed Frulls Flavoured Juice (Mixed Frult),Bottle
500307,เครื่องดื่มน้ำรสองุ่น12% ผสมเกลือแร่ 330 ml.(RWM330),ขวด
500307-1,เครื่องดื่มน้ำรสองุ่น12% ผสมเกลือแร่ 330 ml. รุ่น12ขวด,แพ็ค
500307-2,เครื่องดื่มน้ำรสองุ่น12% ผสมเกลือแร่ 330 ml.(RWM330)(ลัง),ลัง
500307-3,เครื่องดื่มน้ำรสองุ่น12% ผสมเกลือแร่ 330 ml.(RWM330 รุ่น 5 แถม 1),ขวด
500307-4,เครื่องดื่มน้ำรสองุ่น12% ผสมเกลือแร่ 330 ml.(RWM330 รุ่น 5 แถม 1)(ลัง),ลัง
500308,รอแยล-ดี วิตามิน วอเตอร์ วิตามิน B,ขวด
500308-1,รอแยล-ดี วิตามินบีวอเตอร์420ml รุ่น12ขวด,แพ็ค
500308-2,รอแยล-ดี วิตามินบีวอเตอร์420ml รุ่น12ขวด,ขวด
500308-3,รอแยล-ดี วิตามิน วอเตอร์ วิตามิน B (ลัง),ลัง
500308-4,Royal-D Vitamin Water (B1 B6 B12),Bottle
500309,รอแยล-ดี วิตามิน วอเตอร์ วิตามิน C,ขวด
500309-1,รอแยล-ดี วิตามิน วอเตอร์ วิตามิน C(ลัง),ลัง
500310,เครื่องดื่มวิตามิน ซี 1000มก(ตปท),ขวด
500310-1,Royal D Vitamin B1 B2 B6 & Vitamin C1000mg,Bottle
500310-2,เครื่องดื่มวิตามิน ซี 1000มก(กล่อง),กล่อง
500310-3,เครื่องดื่มวิตามิน ซี 1000มก(ลัง),ลัง
500311,ผลิตภัณฑ์เสริมอาหาร วิตามินซี 1000 มก. (ตรา รอแยล-ดี),ขวด
500311-1,ผลิตภัณฑ์เสริมอาหาร วิตามินซี 1000 มก. (ตรา รอแยล-ดี)(กล่อง),กล่อง
500311-2,ผลิตภัณฑ์เสริมอาหาร วิตามินซี 1000 มก. (ตรา รอแยล-ดี)(ลัง),ลัง
500311-3,ผลิตภัณฑ์เสริมอาหาร วิตามินซี 1000 มก. (ตรา รอแยล-ดี)(รุ่น5กล่อง)(ลัง),ลัง
500311-4,ผลิตภัณฑ์เสริมอาหาร วิตามินซี 1000 มก. (ตรา รอแยล-ดี)(รุ่น5กล่อง),ขวด
500311-5,ผลิตภัณฑ์เสริมอาหาร วิตามินซี 1000 มก. (ตรา รอแยล-ดี)(กิ๊ฟเซ็ท),กล่อง
500311-6,ผลิตภัณฑ์เสริมอาหาร วิตามินซี 1000 มก. (ตรา รอแยล-ดี)(รุ่น5กล่อง)(กล่อง),กล่อง
500312,เครื่องดื่มกลิ่นส้มผสมวิตามินและเกลือแร่ ขนาด 330 ml (RBW330),ขวด
500312-1,Royal D Vitamin B1 B6 B12 & Vitamin C (Arrange) 330ml,bottle
500313,เครื่องดื่มรสขิงผสมเลมอน รอแยล-ดี,ขวด
500313-1,Ginger extract Honey vltamin C E,bottle
500313-2,เครื่องดื่มรสขิงผสมเลมอน รอแยล-ดี (กล่อง),กล่อง
500313-3,เครื่องดื่มรสขิงผสมเลมอน รอแยล-ดี(ลัง),ลัง
500313-4,เครื่องดื่มรสขิงผสมเลมอน รอแยล-ดี(กิ๊ฟเซ็ท),กล่อง
500313-5,Ginger extract Honey vltamin C E(Box),BOX
500314,ผลิตภัณฑ์เสริมอาหาร ตรารอแยล คอร์ดี้ พลัส ถั่งเช่าสกัด 2000มก.,ขวด
500314-1,Dietay Supplement Product Royal Cordy Plus Brand,Box
500314-2,ผลิตภัณฑ์เสริมอาหาร ตรารอแยล คอร์ดี้ พลัส ถังเช่าสกัด 2000มก.(กล่อง),กล่อง
500314-3,ผลิตภัณฑ์เสริมอาหาร ตรารอแยล คอร์ดี้ พลัส ถังเช่าสกัด 2000มก.(ลัง),ลัง
500314-4,ผลิตภัณฑ์เสริมอาหาร ตรารอแยล คอร์ดี้ พลัส ถั่งเช่าสกัด 2000มก.(กิ๊ฟเซ็ท),กล่อง
505000,เครื่องดื่ม Synergy (ไทย),ขวด
505000-1,เครื่องดื่ม Synergy (ไทย) (แพ็ค 6 ขวด),แพ็ค
505000-2,เครื่องดื่ม Synergy (F),ขวด
505001,เครื่องดื่ม Synergy (ตปท),ขวด
505002,เครื่องดื่ม Synergy (ไทย) (หีบ),ขวด
505003,เครื่องดื่มน้ำทับทิมตรา ซินเนอร์จี้ ไฮ-ซี (รุ่น 60 ขวด),ขวด
505003-1,เครื่องดื่มน้ำทับทิมตรา ซินเนอร์จี้ ไฮ-ซี (แพ็ค 6 ขวด),แพ็ค
505004,เครื่องดื่ม Synergy (รุ่น 60 ขวด),ขวด
505005,เครื่องดื่มน้ำทับทิมตรา ซินเนอร์จี้ ไฮ-ซี (แพ็ค),ขวด
505006,เครื่องดื่มน้ำทับทิมตรา ซินเนอร์จี้ ไฮ-ซี (หีบ),หีบ
6020,รายได้จากการขายสินค้า,ครั้ง
6021,เงินมัดจำรับล่วงหน้า,ครั้ง
700,อุปกรณ์ส่งเสริมการขาย,ชิ้น
700-13,สติ๊กเกอร์ติดกล่องขนาด 7 x 5.5 ซม,ดวง
700-14,สติ๊กเกอร์ติดกล่องขนาด 7 x 6.5 ซม.,ดวง
700-15,สติ๊กเกอร์ติดกล่องขนาด 7 x 5.2 ซม.,ดวง
700-16,สติ๊กเกอร์ติดกล่องขนาด 7 x 5.6 ซม.,ดวง
700-17,สติ๊กเกอร์ติดกล่องขนาด 7 x 5.1 ซม.,ดวง
700-18,สติ๊กเกอร์ติดกล่องขนาด 7 x 7.6 ซม.,ดวง
700-19,สติ๊กเกอร์ติดกล่องขนาด 6.8 x 1.7 ซม.,ดวง
700-20,สแตนดี้ รอแยล-ดี เวย์โปรตีน,ตัว
700-21,สแตนดี้ แคล์ร ไฟเบอร์,ตัว
700-22,สติ๊กเกอร์ติดรถแข่ง,งาน
700-23,สแตนดี้ รอแยล-ดี,ตัว
700-24,กล่องชิงโชค กระดาษลูกฟูกประกบออฟเซ็ท,ชิ้น
700-25,สแตนดี้ ถังเช่า,ตัว
700-26,สติ๊กเกอร์รอแยลคอฟฟี่ 3 in 1 อาราบิก้า,ดวง
700-26.1,สติ๊กเกอร์รอแยลคอฟฟี่ 3 in 1 อาราบิก้า(หีบ),หีบ
700-26.2,สติ๊กเกอร์รอแยลคอฟฟี่อาราบิก้า(หีบ),หีบ
700-26.3,สติ๊กเกอร์รอแยลคอฟฟี่อาราบิก้าฟรีซดราย (หีบ),หีบ
700-27,สแตนดี้ รอแยล-ดี เจล รสส้ม,ตัว
700-28,สแตนดี้ รอแยล-ดี เจล รสกาแฟ,ตัว
700-29,สติ๊กเกอร์รอแยลคอฟฟี่ อาราบิก้า 27ซอง(หีบ),หีบ
700-30,สติ๊กเกอร์เครื่องดื่มเกลือแร่รอแยลดี(หีบ),หีบ
700-31,แผ่นใบปลิวกระดาษเหลืองพิมพ์สีเขียว,ใบ
700-32,สแตนดี้ เครื่องดื่มแร่ธาตุ,ตัว
700-33,สติ๊กเกอร์รอแยลคอฟฟี่ อาราบิก้าเอสเปรซโซ และอาราบิก้าลาเต้ 22ซอง(หีบ),หีบ
700-34,สติ๊กเกอร์รอแยลคอฟฟี่ กาแฟชนิดผง(หีบ),หีบ
700-35,สติ๊กเกอร์รอแยลดี ผลไม้รวม 330มล.,หีบ
700-36,สแตนดี้ เครื่องดื่มน้ำ,ตัว
700-57,ป้ายผ้าธงรอแยล-ดี,ใบ
7002,ร่มนีโอไลต์,คัน
7003,แก้วกาแฟบิวตี้,ใบ
7004,แก้วกาแฟบูสเตอร์,ใบ
7005,เสื้อโปโลคละสี,ตัว
7006,เสื้ออัศวินดำ,ตัว
7007,เสื้อขาวคอกลม รอแยล-ดี,ตัว
7008,เสื้อแจ็คเก็ตขาว รอแยล-ดี,ตัว
7009,เสื้อรอแยล-ดี สีส้มคลิบเขียว,ตัว
701,แผ่นพับ แคลร์ส คอฟฟี่,ใบ
701-1,แผ่นพับแคลร์ส คอฟฟี่ พับ 3 ตอน,ใบ
701-10,การ์ดใส่ตัวอย่างแคลร์คอลลาเจน,ชิ้น
701-11,Counter Stand แคล์ร คอลลาเจน (3 ชั้น),ตัว
701-12,โบรชัวร์ไวท์คอฟฟี่ ขนาด 9.8x21 ซม.,ใบ
701-13,สติ๊กเกอร์โปรโมชั่นขนาด 6x5 ซม. แนวเฉียง 8 ซม.,แผ่น
701-14,สติ๊กเกอร์นีโอไลต์ 500 กรัม ขนาด 8x16 ซม.,ใบ
701-15,ใบแทรก ถั่งเช่า Royal Cordy t,ใบ
701-16,แผ่นพับ ถังเช่า Royal Cordy t,แผ่น
701-2,แผ่นพับ แคลร์ส คอฟฟี่ พิมพ์หน้า/หลัง,ใบ
701-21,ใบโบร์ชัวร์ แคลร์ส คอฟฟี่  บูสเตอร์,ใบ
701-22,ใบโบร์ชัวร์ แคลร์ส คอฟฟี่ บิ้วตี้,ใบ
701-23,ใบโบร์ชัวร์ แคลร์ส คอฟฟี่ พรีไบโอ,ใบ
701-24,ใบโบร์ชัวร์ เสริมอาหาร แคลซี-ดี ช๊อกโกแลต,ใบ
701-25,ใบโบร์ชัวร์ แคลซี-ดี โกลด์,ใบ
701-26,ใบโบร์ชัวร์ ถั่งเช่า,ใบ
701-27,ใบโบร์ชัวร์  แคล์ร ไฟเบอร์,ใบ
701-28,ใบโบร์ชัวร์  แคล์ร โพรไบโอติก,ใบ
701-29,ใบโบร์ชัวร์  เครื่องดื่มน้ำ,ใบ
701-3,การ์ดตัวอย่างสินค้า Clare's Coffee Beauty,ใบ
701-4,การ์ดตัวอย่างสินค้า Clare's Coffee Booster,ใบ
701-5,สติกเกอร์กาแฟสูญญากาศ,แผ่น
701-6,สติกเกอร์รอแยล-ดี,แผ่น
701-7,ป้ายตั้งโชว์กาแฟแคลร์ส,ชุด
701-8,สติ๊กเกอร์ RDB ขนาดเล็ก,ดวง
701-9,สติ๊กเกอร์ RDC ขนาดเล็ก,ดวง
7010,เสื้อควอลิแทต(สีแดง)  (เลิกใช้),ตัว
7011,เสื้อแคลซี่-ดี (สีส้ม),ตัว
7012,เสื้อกาแฟบิวตี้ (สีขาว ชมพู),ตัว
7013,เสื้อกาแฟบูสเตอร์ (สีขาว ดำ),ตัว
7014,ป้ายผ้าใบ รอแยล-ดี,อัน
7015,ป้ายผ้าใบนีโอโลต์,อัน
7016,แก้วแชมป์เปญ แคลซี่-ดี,ใบ
7017,ที่คั้นน้ำผลไม้,อัน
7018,เสื้อคอกลมสีส้ม นีโอไลต์ สกรีน 2 สี,ตัว
7019,เสื้อคอปกขาวคลิบน้ำเงิน นีโอไลต์ สกรีน 2 สี,ตัว
702,แผ่นพับแนะนำความสำคัญของแคลเซี่ยม,ใบ
702-1,แผ่นพับ แคลซี่-ดี พับ 3 ตอน,ใบ
702-2,แผ่นพับแคลซี่-ดี พิมพ์ หน้า/หลัง,ใบ
702-3,สติ๊กเกอร์รูปผู้หญิง+เด็ก (CC-D),ชิ้น
702-4,แผ่นพับแคลซี่ดี-ช็อคโก พิมพ์หน้า/หลังขนาด 21 x 10 ซม.,ใบ
702-5,สติ๊กเกอร์แคลซี่-ดี (ไทย-ลาว),ชุด
702-6,สติ๊กเกอร์ขาวเงา CCD-Gold 2.8x2.8 ซม. (รูปคนแก่),ชิ้น
702-7,โบรชัวร์เวย์โปรตีน,ใบ
7020,แคตตาล็อครอแยล-ดี,เล่ม
7021,เสื้อคอกลม Synergy,ตัว
7022,GL-4B Curve Exhibition desk,ตัว
7023,Sticker PVC Out Door,ตรม.
